#TYPE System.Management.Automation.PSCustomObject
"Asset ID","Workflow Status","Modified"
"AS683","Registering Reuses","5/11/2017 11:10:03 PM"
"AS684","Registering Reuses","5/11/2017 11:10:09 PM"
"AS685","Registering Reuses","5/11/2017 11:10:14 PM"
"AS687","Registering Reuses","5/11/2017 11:10:33 PM"
"AS690","Registering Reuses","5/11/2017 11:11:06 PM"
"AS692","Registering Reuses","5/11/2017 11:11:20 PM"
"AS694","Registering Reuses","5/11/2017 11:11:49 PM"
"AS695","Registering Reuses","5/11/2017 11:12:04 PM"
"AS696","Registering Reuses","5/11/2017 11:12:12 PM"
"AS697","Registering Reuses","5/11/2017 11:12:17 PM"
"AS698","Registering Reuses","5/11/2017 11:12:23 PM"
"AS699","Registering Reuses","5/11/2017 11:12:28 PM"
"AS700","Registering Reuses","5/11/2017 11:12:33 PM"
"AS701","Librarian Assigned to Form","5/11/2017 11:12:55 PM"
"AS702","Registering Reuses","5/11/2017 11:13:03 PM"
"AS703","Registering Reuses","5/11/2017 11:13:08 PM"
"AS704","Registering Reuses","5/11/2017 11:13:28 PM"
"AS705","Librarian Assigned to Form","5/11/2017 11:13:40 PM"
"AS706","Librarian Assigned to Form","5/11/2017 11:13:48 PM"
"AS707","Librarian Assigned to Form","5/11/2017 11:14:00 PM"
"AS709","Registering Reuses","5/11/2017 11:14:25 PM"
"AS711","Registering Reuses","5/11/2017 11:14:32 PM"
